element,elementLabel,symbol,atomicNumber,discoveryYear,discoveredByLabel,image
http://www.wikidata.org/entity/Q1109,протактиний,Pa,91,1917,"Фаянс, Казимир",http://commons.wikimedia.org/wiki/Special:FilePath/Protactinium-233.jpg
http://www.wikidata.org/entity/Q1098,уран,U,92,1789,Эжен Пелиго,http://commons.wikimedia.org/wiki/Special:FilePath/Uranium2.jpg
http://www.wikidata.org/entity/Q1105,нептуний,Np,93,1940,"Макмиллан, Эдвин Маттисон",http://commons.wikimedia.org/wiki/Special:FilePath/Neptunium2.jpg
http://www.wikidata.org/entity/Q1105,нептуний,Np,93,1940,Филипп Хауге Абельсон,http://commons.wikimedia.org/wiki/Special:FilePath/Neptunium2.jpg
http://www.wikidata.org/entity/Q1102,плутоний,Pu,94,1941,"Макмиллан, Эдвин Маттисон",http://commons.wikimedia.org/wiki/Special:FilePath/Plutonium%20ring.jpg
http://www.wikidata.org/entity/Q1102,плутоний,Pu,94,1941,Гленн Теодор Сиборг,http://commons.wikimedia.org/wiki/Special:FilePath/Plutonium%20ring.jpg
http://www.wikidata.org/entity/Q1102,плутоний,Pu,94,1941,"Валь, Артур",http://commons.wikimedia.org/wiki/Special:FilePath/Plutonium%20ring.jpg
http://www.wikidata.org/entity/Q1102,плутоний,Pu,94,1941,Джозеф У. Кеннеди,http://commons.wikimedia.org/wiki/Special:FilePath/Plutonium%20ring.jpg
http://www.wikidata.org/entity/Q1872,америций,Am,95,1944,Гленн Теодор Сиборг,http://commons.wikimedia.org/wiki/Special:FilePath/Americium%20microscope.jpg
http://www.wikidata.org/entity/Q1876,кюрий,Cm,96,1944,Гленн Теодор Сиборг,http://commons.wikimedia.org/wiki/Special:FilePath/Cm-Fluoreszenz.png
http://www.wikidata.org/entity/Q1882,берклий,Bk,97,1949,Гленн Теодор Сиборг,http://commons.wikimedia.org/wiki/Special:FilePath/Berkelium%20metal.jpg
http://www.wikidata.org/entity/Q1882,берклий,Bk,97,1949,Альберт Гиорсо,http://commons.wikimedia.org/wiki/Special:FilePath/Berkelium%20metal.jpg
http://www.wikidata.org/entity/Q1882,берклий,Bk,97,1949,Stanley Gerald Thompson,http://commons.wikimedia.org/wiki/Special:FilePath/Berkelium%20metal.jpg
